Brand,Model Name,Screen Size,Colour,CPU Model,RAM Memory Installed Size,Operating System,Special Feature,Graphics Card Description,CPU Speed,HDD,Price
Apple,MacBook Air,13 Inches,Space Grey,Core M Family,8 GB,macOS 10.14 Mojave,Portable,Integrated,,256 GB,"67,990"
Lenovo,Lenovo V15 G2 IJL,15.6 Inches,Black,Celeron,8 GB,DOS,Thin,Integrated,,256 GB,"21,399"
HP,HP Laptop,14 Inches,Silver,Intel Core i3,8 GB,Windows 11 Home,"Portable, Anti Glare Screen, Micro Edge Display",Integrated,,512 GB,"39,990"
HP,HP Pavilion Laptop,15.6 Inches,R7 5700U + 16GB/1TB,AMD Ryzen 7 5700U,16 GB,Windows 11 Home,Micro Edge Display,Integrated,,1 TB,"55,990"
Lenovo,Lenovo ThinkPad,14 Inches,Black,Intel Core i5,8 GB,Windows,"Webcam, Light Weight, Thin",Integrated,,256 GB,
HP,HP Laptop,15.6 Inches,Natural Silver,Ryzen 3,8 GB,Windows 11 Home,"Micro Edge, Anti Glare, Dual Speakers, Built in Alexa, Multi Touch Gesture, Lightweight",Integrated,,512 GB,"29,990"
Acer,TMP214-53,14 Inches,Black,Core i5,16 GB,Windows,"HD Webcam, Dual Microphone, , AX201 WIFI 6+BT 5.0",Integrated,,,"36,980"
Lenovo,LOQ,15.6 Inches,Luna Grey,Intel Core i5,16 GB,Windows 11,"Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"64,490"
MSI,Thin 15,40 Centimetres,Cosmos Gray,Core i5,16 GB,Windows 11 Home,Thin,Dedicated,,,"55,990"
MSI,Prestige 16 AI Studio,41 Centimetres,Stellar Gray,Core i7,32 GB,Windows 11 Home,Thin,Dedicated,,,"1,57,990"
HP,15-fa1317X,39.6 Centimetres,Blue,Intel Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Dedicated,,1 TB,"79,990"
Lenovo,IdeaPad Pro 5,16 Inches,Arctic Grey,Core i7,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Dedicated,,1 TB,"1,24,990"
Lenovo,Lenovo V15,15.6 Inches,Arctic Grey,Ryzen 3,8 GB,Windows 11 Home,"Anti Glare Screen, Thin",Integrated,,,"27,990"
Dell,Vostro,14 Inches,Black,Core i3 Family,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"36,999"
HP,15s- fq5112TU,15.6 Inches,Natural Silver,Core i5,16 GB,Windows 11 Home,Built in Alexa,Integrated,,512 GB,"50,299"
ASUS,Vivobook 16X,16 Inches,Silver,Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Dedicated,,512 GB,"69,990"
ASUS,Vivobook S 15 OLED (2023),15.6 Inches,"Blue,16GB RAM | 512GB SSD,OLED",Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,512 GB,"74,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i3,8 GB,Windows 11 Home,Thin,Integrated,,,"32,990"
Acer,AL15-52,15.6 Inches,Steel Gray,Core i3,16 GB,Windows 11 Home,Thin,Integrated,,,"34,299"
HP,15s-eq2305AU,15.6 Inches,Silver,AMD Ryzen 5 5500U,16 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Thin",Integrated,,512 GB,"40,949"
Lenovo,IdeaPad Slim 5 14ABR8,14 Inches,Cloud Grey,Ryzen 5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"52,190"
HP,HP Laptop,39.6 Centimetres,Silver,Ryzen 7,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,,512 GB,"47,990"
ZEBRONICS,ZEB-NBC 5S 16GB (Space Grey),15.6 Inches,Space Grey,Intel Core i7,16 GB,Windows 11 Home,"180 Degree Tilt, Metal Body, Dolby Atmos, Fingerprint Sensor, 65W Type-C Charging",Integrated graphic,,512 GB,"37,990"
Samsung,Galaxy Book3 Pro 360,40.62 Centimetres,Graphite,Others,16 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"1,11,990"
MSI,Cyborg 15 A12VE-071IN,40 Centimetres,Translucent Black,Intel Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Built-in Microphone",Dedicated,,512 GB,"72,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i7,16 GB,Windows 11 Home,Thin,Integrated,,,"49,990"
HP,15-fc0026AU,39.6 Centimetres,Natural Silver,Ryzen 3,8 GB,Windows 11 Home,"FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,512 GB,"33,999"
ASUS,Vivobook 15 OLED (2023),15.6 Inches,"Silver,16GB RAM | 512GB SSD,OLED",Ryzen 5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,512 GB,
AXL,Axl vayubook Space Grey,14.01 Centimetres,Gray,Celeron N4020,4 GB,Windows 11 Home,"Anti Glare Screen, Light Weight, Thin",Integrated,,128 GB,"11,990"
Lenovo,V15 G4 AMN,15.6 Inches,grey,Ryzen 5,8 GB,Windows 11,MS-Office,Integrated,,,"33,980"
Dell,Inspiron 3530,15.6 Inches,Platinum Silver,Core i7,16 GB,Windows 11 Home,Fingerprint Reader,Integrated,,1 TB,"69,922"
Dell,Vostro,14 Inches,Black,Core i5,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"46,990"
ASUS,TUF Gaming,17.3 Inches,Graphite Black,Core i5,8 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"48,990"
ZEBRONICS,ZEB-NBC 3S (8 GB) Blue,15.6 Inches,Blue,Intel Core i3,8 GB,Windows 11 Home,"180 Degree Tilt, Metal Body, Dolby Atmos, Fingerprint Sensor, 65W Type-C Charging",Integrated Graphic,,,"24,990"
Dell,Vostro,14 Inches,Titan Grey,Core i5,8 GB,Windows 11 Home,Thin,Integrated,,,"45,990"
Lenovo,IdeaPad Slim 5 16IRL8,16 Inches,Cloud Grey,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"71,990"
HP,14-ew1082TU,35.6 Centimetres,Blue,Others,16 GB,Windows 11 Home,Anti Glare Screen,Integrated,,512 GB,"80,990"
Lenovo,IdeaPad Slim 5,16 Inches,Cloud Grey,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"80,490"
Primebook,Primebook S 4G,11.6 Inches,Black,MediaTek MT8183,4 GB,PrimeOS,Memory Card Slot,Integrated,,128 GB,"15,980"
HP,15-fb0147AX,39.6 Centimetres,Performance Blue,Ryzen 5,8 GB,Windows 11 Home,"FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare",Dedicated,,512 GB,"47,900"
ASUS,ASUS TUF Gaming A15,15.6 Inches,Mecha Gray,AMD Ryzen 7,16 GB,Windows 11 Home,"G-Sync, Anti-glare display, Built-in array microphone, AI noise-canceling technology Dolby Atmos Support Microsoft Cortana near field/far fieldG-Sync, Anti-glare display, Built-in array microphon…See more",Dedicated,,512 GB,"84,990"
Acer,A315-59,15.6 Inches,Silver,Core i3,8 GB,Windows,MS Office,Integrated,,512 GB,"31,990"
ASUS,ASUS Vivobook 16,40.64 Centimetres,Cool Silver,Core i9,16 GB,Windows 11 Home,"Fingerprint Reader, FHD+ (1920 x 1200) 16:10 aspect ratio, Backlit Keyboard, Anti Glare Coating, Numeric KeypadFingerprint Reader, FHD+ (1920 x 1200) 16:10 aspe…See more",Integrated,,512 GB,"77,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,AMD Ryzen 5 5500U,16 GB,Windows 11 Home,"Portable, Reversible, Light Weight",Integrated,,,"33,990"
Dell,Dell Laptop,14 Inches,Carbon Black,Ryzen 5 5500U,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"35,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,Ryzen 7,16 GB,Windows 11 Home,"FHD, Backlit Keyboard, Dual speakers, Micro-Edge Display, Anti Glare Coating",Integrated,,512 GB,"47,946"
Lenovo,L480,14 Inches,black,Core i5 8250U,32 GB,Windows 10 Pro,HD Audio,Integrated,,512 GB,
ASUS,Zenbook 14 (2023),35.56 Centimetres,"Black,16GB RAM | 1TB SSD,QHD",Ryzen 5,16 GB,Windows 11 Home,"Backlit Chiclet Keyboard, FingerPrint, with Cortana and Alexa voice-recognition support, 100% sRGB color gamut, 2.5K QHD+ (2560 x 1600, WQXGA) 16:10 aspect ratioBacklit Chiclet Keyboard, FingerPrint, with…See more",Integrated,,1 TB,"69,990"
HP,14-ew0116TU,14 Inches,Silver,Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Integrated,,512 GB,"67,990"
Apple,MacBook Pro,16 Inches,Space Black,Apple M2 Ultra,36 GB,Mac OS,Backlit Keyboard,Integrated,,1 TB,"3,19,990"
Dell,Dell Laptop,15.6 Inches,Platinum Silver,Ryzen 5,8 GB,Windows 11 Home,Thin,Integrated,4 GHz,,"36,950"
MSI,Thin 15,40 Centimetres,Cosmos Gray,Core i7,16 GB,Windows 11 Home,Thin,Dedicated,,,"65,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i5-1235U,8 GB,Windows 11 Home,Thin,Integrated,,,"39,990"
Dell,Inspiron 3520,15.6 Inches,Silver,Core i3,8 GB,Windows 10,Numeric Keypad,Integrated,,512 GB,"35,390"
HP,HP 240 G6,14 Inches,,Intel Core i3,8 GB,Windows,Webcam,Integrated,2 GHz,,
Lenovo,IdeaPad Slim 3 15IRH8,15.6 Inches,Arctic Grey,Intel Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"58,390"
HP,HP Laptop,39.6 Centimetres,Natural Silver,Ryzen 5,8 GB,Windows 11 Home,"FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,512 GB,"39,890"
ASUS,ASUS Vivobook,15.6 Inches,Silver 8GB FHD,Core i5,8 GB,Windows 11 Home,"Backlit Keyboard, Anti Glare Coating",Integrated,,512 GB,
Dell,Inspiron,15.6 Inches,Carbon Black,Core i5,8 GB,Windows 11 Home,Thin,Integrated,4.6 GHz,,"49,990"
HP,15-fa1317X,39.6 Centimetres,Blue,Intel Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Dedicated,,1 TB,"79,990"
ASUS,TUF Gaming F15,15.6 Inches,Graphite Black,Core i5,8 GB,Windows 11 Home,"Thin, Anti Glare Screen, Adaptive-Sync, Backlit Keyboard,",Dedicated,,512 GB,"55,990"
Dell,Vostro 3530,15.6 Inches,Black,Core i3,8 GB,Windows 11 Home,Anti Glare Screen,Integrated,,512 GB,"38,890"
HP,HP Laptop,39.6 Centimetres,Silver,Ryzen 7,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,,512 GB,"47,990"
HP,14-eu0556TU,35.6 Centimetres,Slate Blue,Others,32 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard, Numeric Keypad",Integrated,,1 TB,"1,62,990"
Apple,MacBook Pro,16 Inches,Space Black,Apple M2 Ultra,48 GB,Mac OS,Backlit Keyboard,Integrated,,1 TB,"3,69,990"
Acer,Z8-284,11.6 Inches,Deep Blue,Celeron,8 GB,Windows 11 Home,Webcam,Integrated,1.1 GHz,,"16,980"
ASUS,Vivobook 16 (2023),16 Inches,"Silver,8GB RAM | 512GB SSD,FHD",Core i5,8 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,512 GB,"55,990"
ASUS,ASUS Vivobook,15.6 Inches,Silver 16GB FHD,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,,512 GB,"49,990"
Dell,Vostro,14 Inches,Dark Silver,Core i5,16 GB,Windows 11 Home,Standard Keyboard,Integrated,,512 GB,"48,990"
Samsung,Samsung Galaxy Book4,15.6 Inches,Gray,Intel Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, HD Audio, Memory Card Slot, Numeric Keypad",Integrated,,512 GB,"61,990"
Dell,5400-i5,14 Inches,black,Core i5 8250U,16 GB,Windows 10 Pro,,Integrated,1.6 GHz,,
Lenovo,Lenovo Thinkpad-cr,14 Inches,black,Intel Core i5,8 GB,Windows 10 Pro,Webcam,Integrated,,256 GB,
Lenovo,ThinkBook 15 G5,15.6 Inches,Mineral Grey,Ryzen 7,8 GB,Windows 11 Home,"Fingerprint Reader, Thin",Integrated,,512 GB,"44,490"
Lenovo,ThinkBook 15 G5,15.6 Inches,Mineral Grey,Ryzen 3,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"30,450"
MSI,Thin 15,40 Centimetres,Cosmos Gray,Core i7,16 GB,Windows 11 Home,Thin,Dedicated,,,"77,990"
ZEBRONICS,ZEB-NBC 5S 16GB,15.6 Inches,Blue,Intel Core i7,16 GB,Windows 11 Home,"180 Degree Tilt, Metal Body, Dolby Atmos, Fingerprint Sensor, 65W Type-C Charging",Integrated,,,"37,990"
Apple,MacBook Pro,14 Inches,Space Black,Apple M2 Ultra,18 GB,Mac OS,Backlit Keyboard,Integrated,,512 GB,"1,79,990"
MSI,Modern 15 B12MO-612IN,40 Centimetres,Classic Black,Core i3,16 GB,Windows 11 Home,Thin,Integrated,,512 GB,"33,990"
Apple,MacBook Pro,14 Inches,Silver,Apple M2 Ultra,8 GB,Mac OS,Backlit Keyboard,Integrated,,512 GB,"1,55,990"
HP,HP Pavilion Laptop,15.6 Inches,R5 5500U + 16GB/1TB,AMD Ryzen 5 5500U,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard, Numeric Keypad",Integrated,,1 TB,"49,990"
Lenovo,IdeaPad,15.6 Inches,Cloud Grey,Ryzen 5,16 GB,Windows 11 Home,"HD Audio, Anti Glare Coating, Memory Card Slot",Integrated,,512 GB,"36,990"
Dell,Dell Latitude,14 Inches,Black,Core i5,256 GB,Windows 10 Pro,"Anti Glare Screen, Webcam",Integrated,,256 GB,
ASUS,Vivobook Go 14 (2023),14 Inches,R5 7520U | 16GB RAM,Ryzen 5,8 GB,Windows 11 Home,Anti Glare Coating,Integrated,,512 GB,"39,990"
HP,15a- na,39.6 Centimetres,Mineral Silver,Celeron,4 GB,Chrome OS,"Micro-edge, Anti-glare, HD, Micro-Edge Display",Integrated,,128 GB,"18,990"
Lenovo,IdeaPad Slim 3 15IRU8,15.6 Inches,Arctic Grey,Intel Core i3,8 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"39,800"
AVITA,S102,15.6 Inches,Silver,Celeron N4020,8 GB,Windows 11 Home,"HD Audio, Memory Card Slot",Integrated,,512 GB,"17,631"
HP,HP 250 G9 Notebook PC,15.6 Inches,Silver,Core i3,8 GB,Windows 11 Home,Numeric Keypad,Integrated,,512 GB,"33,900"
Dell,Vostro,14 Inches,Dark Silver,Core i3 Family,8 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,512 GB,"33,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Ryzen 7,16 GB,Windows 11 Home,"Backlit Keyboard, Thin",Integrated,,,"42,990"
Lenovo,IdeaPad Slim,15.6 Inches,Arctic Grey,Ryzen 3,8 GB,Windows 11 Home,"HD Audio, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"32,949"
Dell,Vostro,15.6 Inches,Carbon Black,Core i5,16 GB,Windows 11 Home,Thin,Integrated,,80 TB,"54,720"
HP,HP Laptop,39.6 Centimetres,Natural Silver,Core i3,8 GB,Windows 11 Home,"FHD, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,512 GB,"39,970"
Lenovo,LOQ,15.6 Inches,Luna Grey,Intel Core i7,24 GB,Windows 11,"Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"1,03,490"
ASUS,ASUS Vivobook 14X OLED,14 Inches,Cool Silver,Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Dedicated,,,"69,990"
ASUS,TUF Gaming F15,17.3 Inches,Mecha Gray,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"65,990"
MSI,Cyborg 15 A12UCX-264IN,40 Centimetres,Black,Core i5-12450H,16 GB,Windows 11 Home,Thin,Dedicated,,512 GB,"54,990"
Lenovo,IdeaPad Slim 5 16IAH8,16 Inches,i5 | 16GB | 512GB SSD,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"58,490"
ASUS,ASUS Vivobook 16,40.64 Centimetres,Indie Black,Core i9,16 GB,Windows 11 Home,"Fingerprint Reader, FHD+ (1920 x 1200) 16:10 aspect ratio, Backlit Keyboard, Anti Glare Coating, Numeric KeypadFingerprint Reader, FHD+ (1920 x 1200) 16:10 aspe…See more",Integrated,,1 TB,"84,990"
Dell,Dell Latitude,14 Inches,,Intel Core i5,16 GB,Windows,"Webcam, Light Weight, Thin",Integrated,,256 GB,
Lenovo,ThinkBook 16 G6,16 Inches,Arctic Grey,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,1.3 GHz,,"57,490"
Lenovo,IdeaPad Gaming 3 15ARH7,15.6 Inches,Onyx Grey,Ryzen 5,16 GB,Windows 11 Home,"Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"62,990"
Samsung,Galaxy Book3 Pro 360,40.62 Centimetres,Graphite,Others,16 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"1,11,990"
Lenovo,IdeaPad 1 15AMN7,15.6 Inches,Cloud Grey,Ryzen 3,8 GB,Windows 11 Home,"HD Audio, Anti Glare Coating, Memory Card Slot",Integrated,,512 GB,"30,809"
ASUS,Vivobook Go 15 (2023),15.6 Inches,"Black,16GB RAM | 512GB SSD,FHD",Ryzen 5,16 GB,Windows 11 Home,Anti Glare Coating,Integrated,,512 GB,"40,990"
ASUS,VivoBook 15 (2021),15.6 Inches,Transparent Silver,Celeron N4020,4 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating",Integrated,,512 GB,
